@relation mnl2 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.071536,-0.00229,-0.018554,3
0.269132,-0.020378,-0.001309,4
0.209392,0.002194,-0.014467,5
0.144413,-0.012083,-0.008223,6
0.132007,0.00768,-0.124395,7
0.091922,-0.000759,-0.010465,1
0.059688,-0.007557,-0.010476,3
0.272902,-0.017729,-0.00606,4
0.207009,-0.00795,0.001205,5
0.134329,0.015518,0.007023,6
0.134461,0.000807,0.013866,7
0.114745,-0.022476,-0.040555,1
0.071536,0.008209,-0.002398,3
0.269132,0.008694,-0.013155,4
0.204625,-0.003895,-0.010549,5
0.144413,0.001709,-0.003153,6
0.134461,-0.008382,0.013866,7
0.14526,0.016603,0.019625,1
0.071536,-0.010173,-0.018554,3
0.272902,0.019256,0.010522,4
0.207009,0.004228,-0.004678,5
0.137698,0.015518,0.017231,6
0.134461,0.016869,0.092966,7
0.114745,0.033964,0.01363,1
0.059688,-0.018056,-0.010476,3
0.276671,0.003413,0.008162,4
0.209392,0.018426,0.003171,5
0.154496,0.012767,0.032477,6
0.139353,-0.001494,0.013866,7
0.114745,-0.000759,0.031653,1
0.059688,-0.010173,-0.005096,3
0.269132,0.019256,-0.015531,4
0.209392,0.006248,-0.008597,5
0.137698,-0.001043,0.052861,6
0.12957,-0.001494,0.033674,7
0.091922,-0.00944,0.001602,1
0.067596,-0.007557,-0.015855,3
0.265388,-0.007167,-0.001309,4
0.209392,0.020447,0.007089,5
0.147781,-0.003812,-0.003153,6
0.136915,0.005394,0.053481,7
0.099513,0.033964,0.01363,1
0.051755,-0.010173,0.002982,3
0.269132,-0.017729,0.017633,4
0.214143,0.016392,0.003171,5
0.144413,-0.003812,0.027406,6
0.141807,0.014568,0.033674,7
0.107154,0.029638,-0.016459,1
0.055721,-0.012806,-0.005096,3
0.276671,-0.017729,0.001051,4
0.204625,0.010303,0.014925,5
0.151128,-0.003812,0.007023,6
0.136915,0.037518,0.013866,7
0.099513,-0.00944,0.025658,1
0.055721,0.00296,0.002982,3
0.269132,-0.004517,0.010522,4
0.204625,0.008282,0.011007,5
0.141044,0.018287,-0.023503,6
0.139353,0.009981,-0.124395,7
0.099513,0.016603,-0.022493,1
0.059688,0.008209,-0.015855,3
0.269132,0.000764,-0.001309,4
0.207009,0.006248,0.009055,5
0.144413,0.026577,0.007023,6
0.136915,0.016869,-0.144073,7
0.099513,0.025283,0.001602,1
0.055721,0.000326,0.005663,3
0.276671,0.006045,0.003427,4
0.204625,0.008282,-0.002713,5
0.144413,-0.001043,-0.008223,6
0.141807,0.00768,-0.144073,7
0.099513,0.003567,-0.010465,1
0.055721,-0.004923,-0.002398,3
0.261618,-0.001886,0.003427,4
0.209392,0.012337,-0.000747,5
0.144413,-0.003812,0.012127,6
0.134461,-0.006081,-0.045296,7
0.122386,-0.000759,0.019625,1
